,ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA,MONTH,YEAR,LON,LAT,COUNTY,FIPS
0,21MEDTECH LLC,10059126,1R44HL167315-01,RPGs - SBIR/STTR,10600803,"KESSELI, FIOLEDA PRIFTI",15176263,ARRAY: A novel polymeric mesh for prophylactic antibiotic protection of cardiac implantable electronic devices,,NONE,UNAVAILABLE,,,"$999,978 ",4,DURHAM,NORTH CAROLINA,,,,,1/16/2023,PA21-259,1.0,2023.0,-78.9022,35.9792,DURHAM,37063.0
1,3-C INSTITUTE FOR SOCIAL DEVELOPMENT,4326801,5R43MH126793-02,RPGs - SBIR/STTR,10570236,"DEROSIER, MELISSA E.",8194555,A Mobile Text Approach to Measurement and Feedback for Wraparound Care Coordination,,NONE,UNAVAILABLE,,,"$164,922 ",4,DURHAM,NORTH CAROLINA,27513,,,,2/1/2023,PA20-262,2.0,2023.0,-78.9022,35.9792,DURHAM,37063.0
2,"3DT HOLDINGS, LLC",10015960,5R44DK129097-03,RPGs - SBIR/STTR,10551849,"COMBS, WILLIAM",9965850,Biomechatronics Device for Diagnosis/Therapy of Anorectal Disorders,,NONE,UNAVAILABLE,,,"$854,130 ",49,SAN DIEGO,CALIFORNIA,,,,None,11/22/2022,PA20-260,11.0,2022.0,-117.1222,32.8313,SAN DIEGO,6073.0
3,"ABBRATECH, INC.",10062716,1R44GM148998-01,RPGs - SBIR/STTR,10598276,"WEINER, MICHAEL P",78106439,Platform for the High Throughput Generation and Validation of Affinity Reagents,,NONE,UNAVAILABLE,,,"$1,080,240 ",3,BRANFORD,CONNECTICUT,,,,,1/26/2023,PA21-259,1.0,2023.0,-82.9243,29.9623,SUWANNEE,12121.0
4,"ACENXION BIOSYSTEMS, INC.",10059828,5R44AI157675-03,RPGs - SBIR/STTR,10544166,"SWIGER, ROY R",16460388,"An automated, scalable, and rapid AST system for Gonorrhea STIs",,NONE,UNAVAILABLE,,,"$1,000,000 ",3,KANSAS CITY,KANSAS,,,,,12/7/2022,PA19-272,12.0,2022.0,-94.5541,39.1238,JACKSON,29095.0
5,"ACTUATED MEDICAL, INC.",10013439,3R44MH131514-01S1,RPGs - SBIR/STTR,10739498,"MULVIHILL, MAUREEN L.",8520150,ICORPs Support for Development of an Acoustic Implant Protection System to Improve Performance and Longevity of Neural Interfaces,,NONE,UNAVAILABLE,,,"$54,991 ",15,BELLEFONTE,PENNSYLVANIA,16823,,,None,1/27/2023,PAR22-073,1.0,2023.0,-77.7683,40.9141,CENTRE,42027.0
6,ADELPHI UNIVERSITY,34201,1R15AG080449-01,RPGs - Non SBIR/STTR,10579515,"LEMPERT, KAROLINA M",14318472,Individual and age differences in temporal discounting: the role of memory for time,PSYCHOLOGY,PSYCHOLOGY,ORGANIZED RESEARCH UNITS,"$299,845 ","$77,639 ","$377,484 ",4,GARDEN CITY,NEW YORK,11530,,,Domestic Higher Education,1/20/2023,PAR21-155,1.0,2023.0,-100.8527,37.9753,FINNEY,20055.0
7,ADVANCED SCIENCE RESEARCH CENTER,10023818,5R01GM123012-06,RPGs - Non SBIR/STTR,10543487,"JOHNSON, BRUCE A",12670828,NMRFx: An Integrated software suite for macromolecular NMR analysis,NONE,NONE,ORGANIZED RESEARCH UNITS,"$185,400 ","$105,678 ","$291,078 ",13,NEW YORK,NEW YORK,,,,Domestic Higher Education,11/1/2022,PA20-185,11.0,2022.0,-73.9249,40.6943,QUEENS,36081.0
8,ADVANCED SCIENCE RESEARCH CENTER,10023818,1R21NS131939-01,RPGs - Non SBIR/STTR,10647134,"SHAFER, ORIE T",3053278,Identification of Sleep Substances in the Brain Using Matrix Assisted Laser Desorption Ionization-Time of Flight Mass Spectrometry,NONE,NONE,ORGANIZED RESEARCH UNITS,"$150,000 ","$85,500 ","$235,500 ",13,NEW YORK,NEW YORK,,,,Domestic Higher Education,1/31/2023,PA21-219,1.0,2023.0,-73.9249,40.6943,QUEENS,36081.0
9,ADVENTHEALTH ORLANDO,3327002,1K01DK134838-01,Other Research-Related,10572845,"ERICKSON, MELISSA",15344954,Impact of Shiftwork on Metabolic Flexibility and Skeletal Muscle Clocks,,NONE,UNAVAILABLE,"$147,069 ","$11,766 ","$158,835 ",7,ORLANDO,FLORIDA,32803,,,Independent Hospitals,1/23/2023,PA20-190,1.0,2023.0,-81.337,28.4773,ORANGE,12095.0
